"id";"time_stamp";"person";"bicycle";"car";"motorcycle";"bus";"truck";"cat";"dog"
280;"2021-07-19 10:15:00";8;0;34;0;0;8;0;0
281;"2021-07-19 10:30:00";13;0;62;0;0;5;0;0
282;"2021-07-19 10:45:00";7;0;54;1;1;5;0;0
283;"2021-07-19 11:00:00";9;0;69;1;0;2;0;0
284;"2021-07-19 11:15:00";23;0;72;3;0;5;0;0
285;"2021-07-19 11:30:00";4;0;32;0;0;7;0;0
286;"2021-07-19 11:45:00";10;0;52;0;0;4;0;0
287;"2021-07-19 12:00:00";10;0;56;0;0;1;0;0
288;"2021-07-19 12:15:00";16;0;51;1;0;3;0;0
289;"2021-07-19 12:30:00";9;0;58;0;0;1;0;0
290;"2021-07-19 12:45:00";16;0;38;0;0;1;0;0
291;"2021-07-19 13:00:00";8;0;47;0;0;1;0;0
292;"2021-07-19 13:15:00";7;0;49;0;3;1;0;0
293;"2021-07-19 13:30:00";13;1;53;0;1;3;0;0
294;"2021-07-19 13:45:00";10;0;56;0;1;0;0;0
295;"2021-07-19 14:00:00";10;2;71;0;0;0;0;0
296;"2021-07-19 14:15:00";20;0;53;1;2;2;0;0
297;"2021-07-19 14:30:00";9;0;72;0;0;3;0;0
298;"2021-07-19 14:45:00";30;1;71;3;3;1;0;0
299;"2021-07-19 15:00:00";18;0;65;0;2;6;0;0
300;"2021-07-19 15:15:00";16;0;48;0;0;3;0;0
301;"2021-07-19 15:30:00";22;0;54;0;0;3;0;0
302;"2021-07-19 15:44:59";15;1;47;0;0;1;0;0
303;"2021-07-19 16:00:00";19;0;63;0;0;4;0;0
304;"2021-07-19 16:15:00";17;0;47;2;0;2;0;0
305;"2021-07-19 16:30:00";21;1;56;1;1;1;0;0
306;"2021-07-19 16:45:00";13;1;68;1;0;2;0;0
307;"2021-07-19 17:00:00";15;0;69;1;1;3;0;0
308;"2021-07-19 17:15:00";29;3;49;0;3;2;0;0
309;"2021-07-19 17:30:00";14;1;71;0;0;10;0;0
310;"2021-07-19 17:45:00";8;1;33;1;1;3;0;0
311;"2021-07-19 18:00:00";13;0;34;0;0;1;0;0
312;"2021-07-19 18:15:00";10;1;25;0;1;0;0;0
313;"2021-07-19 18:30:00";17;0;23;0;0;3;0;0
314;"2021-07-19 18:45:00";3;0;21;0;0;0;0;0
